open,high,low,close,^GSPC_Adj Close,volume,^GSPC_EMA_5,^GSPC_EMA_10,^GSPC_EMA_20,^GSPC_EMA_50,^GSPC_EMA_100,^GSPC_EMA_200,^GSPC_SMA_200,^GSPC_MACD_12_26_9,^GSPC level 50,^GSPC % from high,date,0,1,2,3,4,trend_forecast,trend_forecast_next_day
1521.3800048828125,1524.239990234375,1514.1400146484375,1519.7900390625,1519.7900390625,3838510000,1518.880292820763,1514.795290808104,1504.278346902011,1476.3390383865456,1450.135154092707,1415.335578806688,1406.1561004638672,15.193348782444446,1.0,-0.0357212646351122,2013-02-15,0.0014887304,0.0014752307,0.0014484508,0.0014256908,0.0014104547,1,1
1519.7900390625,1530.93994140625,1519.7900390625,1530.93994140625,1530.93994140625,3748910000,1522.900175682592,1517.7306818259487,1506.8175463786051,1478.4802502696714,1451.7352488909949,1416.4858709718576,1406.781700439453,15.509350057595384,0.0,-0.0286468573452043,2013-02-19,0.0013367722,0.0013180631,0.0013385607,0.0013639601,0.001383987,1,1
1530.93994140625,1530.93994140625,1511.4100341796875,1511.949951171875,1511.949951171875,4240570000,1519.2501008456866,1516.6796398888446,1507.306346835107,1479.792787559954,1452.9276192331904,1417.4357623171315,1407.3298999023436,14.06531365837509,1.0,-0.0406956557299407,2013-02-20,0.001646798,0.0016481022,0.0015707923,0.0014943453,0.0014393902,1,1
1511.949951171875,1511.949951171875,1497.2900390625,1502.4200439453125,1502.4200439453125,4274600000,1513.6400818788952,1514.0869860809296,1506.8409846551265,1480.6801309476152,1453.9076672472918,1418.2813770597006,1407.884150390625,12.013437114891076,1.0,-0.0467422060114802,2013-02-21,0.0018377244,0.0017493289,0.0016136384,0.0015030412,0.001430359,1,1
1502.4200439453125,1515.6400146484375,1502.4200439453125,1515.5999755859375,1515.5999755859375,3419320000,1514.2933797812427,1514.3620750818402,1507.675174267585,1482.0495366197065,1455.1292971153837,1419.2497213236434,1408.616650390625,11.320326824349422,1.0,-0.0383797825924814,2013-02-22,0.0015852666,0.0014591527,0.0013998116,0.0013752737,0.0013683243,1,1
1515.5999755859375,1525.8399658203125,1487.8499755859375,1487.8499755859375,1487.8499755859375,4011050000,1505.478911716141,1509.5416933553124,1505.7870601074278,1482.2770048144607,1455.7772313425232,1419.932310918293,1409.2080004882812,8.434609909260189,1.0,-0.0559866455265759,2013-02-25,0.0019365454,0.0018492867,0.0016755927,0.0015285569,0.001431041,1,1
1487.8499755859375,1498.989990234375,1485.010009765625,1496.93994140625,1496.93994140625,3975280000,1502.6325882795109,1507.25046572821,1504.9444773739822,1482.8520219357074,1456.592334512102,1420.6985559977752,1409.874100341797,6.802725156217775,1.0,-0.0502192299491399,2013-02-26,0.0017504476,0.0015825292,0.0014663724,0.001397859,0.0013637431,1,1
1496.93994140625,1520.0799560546875,1494.8800048828125,1515.989990234375,1515.989990234375,3551850000,1507.085055597799,1508.8394701838763,1505.9964309797338,1484.1515501042827,1457.768525714523,1421.6467294727663,1410.6811505126952,6.966321052160765,1.0,-0.0381323254949199,2013-02-27,0.0013233756,0.0012223237,0.0012347727,0.0012767144,0.0013180911,1,1
1515.989990234375,1525.3399658203125,1514.4599609375,1514.6800537109375,1514.6800537109375,3912320000,1509.616721635512,1509.9013944615235,1506.8234426684198,1485.3487463241518,1458.8954866649474,1422.5724341915543,1411.464600830078,6.910609839965218,1.0,-0.0389634560470111,2013-02-28,0.0012743617,0.0012837793,0.0013094619,0.0013355657,0.0013571405,1,1
1514.6800537109375,1519.989990234375,1501.47998046875,1518.199951171875,1518.199951171875,3695610000,1512.4777981476332,1511.4102229543146,1507.9069196687487,1486.6370288672,1460.0698324967675,1423.523951773448,1412.2886505126953,7.068997606895891,1.0,-0.0367301460600996,2013-03-01,0.0012588799,0.001286014,0.0013198969,0.0013487791,0.00137022,1,1
1518.199951171875,1525.27001953125,1512.2900390625,1525.199951171875,1525.199951171875,3414430000,1516.7185158223806,1513.9174462665983,1509.5538750499989,1488.1493003301284,1461.359537817067,1424.5356532599997,1413.222900390625,7.670936767802914,1.0,-0.0322887752298776,2013-03-04,0.0012065413,0.0012450537,0.0012987661,0.0013435318,0.001374768,1,1
