open,high,low,close,volume,^GSPC_EMA_5,^GSPC_EMA_10,^GSPC_EMA_20,^GSPC_EMA_50,^GSPC_EMA_100,^GSPC_EMA_200,^GSPC_SMA_200,^GSPC_MACD_12_26_9,^GSPC level 50,^GSPC % from high,date
438.6700134277344,438.9299926757813,436.9100036621094,438.7799987792969,247200000,438.3952035868187,437.4983332176336,436.3813583894065,432.9137007796408,427.7102121892919,420.1938061655432,419.5299002075195,1.4375766830493149,0.0,-0.008765203204973,1993-01-29
438.7799987792969,442.5199890136719,438.7799987792969,442.5199890136719,238570000,439.77013206243646,438.4113615441861,436.9659898774318,433.2904179652891,428.00347509670536,420.4159572386589,419.6623001098633,1.754076668628727,0.0,-0.0003163029125721,1993-02-01
442.5199890136719,442.8699951171875,440.760009765625,442.5499877929688,271560000,440.6967506392806,439.1638390439647,437.497799202721,433.65353835068834,428.291524853067,420.636196348652,419.8241500854492,1.9844503301106329,0.0,-0.0007225762136675,1993-02-02
442.55999755859375,447.3500061035156,442.55999755859375,447.2000122070313,345410000,442.8645044951975,440.6249614372495,438.4218194888458,434.1847726195645,428.6659503452248,420.90051292435726,420.00885009765625,2.5132698149562884,1.0,-0.0003352942761548,1993-02-03
447.2000122070313,449.8599853515625,447.2000122070313,449.55999755859375,351140000,445.0963355163296,442.2495134593121,439.4825983526313,434.78772261717353,429.0796938544004,421.18568192569296,420.20760009765627,3.0872067634363134,1.0,-0.0006668470251567,1993-02-04
449.55999755859375,449.55999755859375,446.9500122070313,448.9299926757813,324710000,446.3742212361468,443.4641460441247,440.3823501929313,435.3423214430013,429.4727690785861,421.4617447192262,420.3942500305176,3.451433820585976,1.0,-0.0020672936159336,1993-02-05
448.9400024414063,450.0400085449219,447.7000122070313,447.8500061035156,243400000,446.86614952526975,444.2615751458321,441.0935555177489,435.8328188806685,429.8366747622481,421.724314484244,420.5884001159668,3.611311545401748,1.0,-0.0048662394449928,1993-02-08
448.0400085449219,448.0400085449219,444.5199890136719,445.3299865722656,240410000,446.35409520760174,444.45583176882,441.49702514198856,436.2052568293586,430.1434730159118,421.9591967935776,420.77279998779295,3.494390124512165,1.0,-0.0104657850040594,1993-02-09
445.3299865722656,446.3699951171875,444.239990234375,446.2300109863281,251910000,446.31273380051056,444.7784098083669,441.9477856985923,436.5983844433574,430.4620183222567,422.2006974323115,420.9584001159668,3.434759732349903,1.0,-0.0084659085553577,1993-02-10
446.2099914550781,449.3599853515625,446.2099914550781,447.6600036621094,257190000,446.7618237543769,445.3023359635928,442.4918064570225,437.0321734323281,430.8025724874023,422.4540238624587,421.136600189209,3.4629716928851053,1.0,-0.0052884295565356,1993-02-11
447.6600036621094,447.7000122070313,444.5799865722656,444.5799865722656,216810000,446.0345446936731,445.1709997106242,442.69068075371234,437.3281661044825,431.0753925682907,422.6741826953921,421.2847500610352,3.199911646902251,1.0,-0.0121323035041033,1993-02-12
444.5299987792969,444.5299987792969,433.4700012207031,433.9100036621094,332850000,441.9930310164853,443.12354588362143,441.8544257926073,437.1941205185071,431.1315234810396,422.7859819089913,421.3916500854492,2.106177513804596,0.0,-0.0358412687240059,1993-02-16
433.9299926757813,433.9700012207031,430.9200134277344,433.2999877929688,302210000,439.0953499419798,441.3374444125936,441.0397174116893,437.0414094312311,431.1744633684045,422.8905988829612,421.47360000610354,1.1765990494370726,0.0,-0.0371967390323302,1993-02-17
433.2999877929688,437.7900085449219,428.25,431.8999938964844,311180000,436.6968979268147,439.6215443187556,440.1692675530984,436.8397852926136,431.1888303095546,422.98024460448886,421.5488999938965,0.3232078727978091,0.0,-0.0403075600035831,1993-02-18
431.9299926757813,434.260009765625,431.6799926757813,434.2200012207031,310700000,435.87126569144425,438.6394455736551,439.602670759537,436.7370486623426,431.248853495914,423.0920829787796,421.6360499572754,-0.1640149191932778,0.0,-0.035152446502186,1993-02-19
434.2099914550781,436.489990234375,433.5299987792969,435.239990234375,311570000,435.6608405390879,438.02136278469504,439.1871773761882,436.6783404886968,431.32788590657657,423.2129576778403,421.7329998779297,-0.4625064170222117,0.0,-0.0328860057540185,1993-02-22
435.3399963378906,436.8399963378906,432.4100036621094,434.7999877929688,329060000,435.3738896237149,437.4356582407448,438.7693497968341,436.6046795986682,431.3966403993764,423.3282515098316,421.8267498779297,-0.7261964586012368,0.0,-0.0338637020322425,1993-02-23
434.760009765625,440.8699951171875,434.6799926757813,440.8699951171875,316750000,437.2059247882058,438.0600831273708,438.9694112559153,436.7719468739043,431.5842315819073,423.5027962223426,421.9386499023437,-0.4402983689195139,0.0,-0.0203759960306263,1993-02-24
440.7000122070313,442.3399963378906,439.6700134277344,442.3399963378906,252860000,438.9172819714341,438.8382491656471,439.2904193589606,436.99030175484495,431.7972170226199,423.69023104936304,422.0688998413086,-0.094021439239043,0.0,-0.0171096170581079,1993-02-25
442.3399963378906,443.7699890136719,440.9800109863281,443.3800048828125,234160000,440.40485627522696,439.6640229324044,439.6799036945656,437.2408783480986,432.02657915846527,423.88614919695954,422.2035498046875,0.261313263544082,0.0,-0.0147986924176866,1993-02-26
443.3800048828125,444.1799926757813,441.3399963378906,442.010009765625,232460000,440.939907438693,440.09056599299,439.901818558476,437.4279031095703,432.22427085365655,424.0664861180408,422.3478997802735,0.427444109498424,0.0,-0.0178428553613702,1993-03-01
442.0,447.9100036621094,441.0700073242188,447.8999938964844,269750000,443.2599362579568,441.5104619754435,440.6635495430482,437.8385733365081,432.5346812109402,424.3036354491696,422.5369497680664,1.022588730192126,1.0,-0.0047551653359811,1993-03-02
447.8999938964844,450.0,447.7300109863281,449.260009765625,277380000,445.25996076051297,442.91947066456737,441.4822600404365,438.2864728043167,432.8658758357855,424.5519575816717,422.7191998291016,1.5857079897532458,1.0,-0.0017331765276131,1993-03-03
449.260009765625,449.5199890136719,446.7200012207031,447.3399963378906,234220000,445.9533059529722,443.72320260517154,442.04013968781305,438.64151294288814,433.1524920833519,424.7787042359624,422.8740498352051,1.8556640821855128,1.0,-0.0059994937244823,1993-03-04
447.3399963378906,449.5899963378906,445.55999755859375,446.1099853515625,253480000,446.00553241916896,444.1571631045153,442.4277440367416,438.9343942138165,433.409076108465,424.9909557893515,423.0276496887207,1.947900439658269,1.0,-0.0087326084764463,1993-03-05
446.1199951171875,454.7099914550781,446.1199951171875,454.7099914550781,275290000,448.907018764472,446.075859168254,443.597481886107,439.5530450860229,433.8308764123583,425.2866675870205,423.2381996154785,2.684007469415576,1.0,0.0,1993-03-08
454.6700134277344,455.5199890136719,453.6799926757813,454.3999938964844,290670000,450.7380104751428,447.5893382097504,444.626292553762,440.13527837270766,434.23818566946966,425.5763524259207,423.4400996398926,3.205413371594944,1.0,-0.00245871782622,1993-03-09
454.3999938964844,456.3399963378906,452.7000122070313,456.3299865722656,255610000,452.6020025075171,449.1785470029349,445.7409300793338,440.7703649687688,434.6756470734854,425.88235873583454,423.66469955444336,3.7313528716941846,1.0,-2.193488562329815e-05,1993-03-10
456.3500061035156,456.760009765625,453.4800109863281,453.7200012207031,257060000,452.9746687452458,450.00426595162,446.5008416166071,441.27819384139366,435.05276299719264,426.1593502033457,423.8724494934082,3.892687234078153,1.0,-0.0066555926086475,1993-03-11
453.7000122070313,453.7000122070313,447.0400085449219,449.8299865722656,255420000,451.92644135425246,449.9725787917374,446.8179030409555,441.61355826221217,435.345381285808,426.3948789234345,424.0378994750977,3.664413133118103,1.0,-0.0151721320719722,1993-03-12
449.8299865722656,451.4299926757813,449.3999938964844,451.4299926757813,195930000,451.7609584614288,450.2375631342909,447.2571496728437,441.998516474509,435.66388844204505,426.64398453291057,424.21829940795897,3.571442023722,1.0,-0.0116691850772546,1993-03-15
451.4299926757813,452.3599853515625,451.010009765625,451.3699951171875,218820000,451.63063734668174,450.4434598584538,447.6488492389717,442.36602544088856,435.97490045541423,426.890014488973,424.3886494445801,3.4531150869144653,1.0,-0.0118005397434054,1993-03-16
451.3599853515625,451.3599853515625,447.989990234375,448.30999755859375,241270000,450.5237574173191,450.0555576221156,447.7118157456023,442.5991223866809,436.21915980399206,427.10314864886976,424.56269943237305,3.076954689164097,1.0,-0.0184998949697176,1993-03-17
448.3599853515625,452.3900146484375,448.3599853515625,451.8900146484375,241180000,450.97917649435857,450.389095263265,448.10973945063415,442.9634711028282,436.5294737613078,427.34978413145257,424.74919952392577,3.0327625249977928,1.0,-0.010662043552557,1993-03-18
451.8999938964844,453.3200073242188,449.9100036621094,450.1799926757813,339660000,450.71278188816615,450.3510766109952,448.3069064244577,443.2464719488264,436.7997810665449,427.57695038562497,424.93379943847657,2.8271656290431224,1.0,-0.014405851977322,1993-03-19
450.1700134277344,450.1700134277344,446.0799865722656,448.8800048828125,233190000,450.1018562197149,450.08360902405286,448.3614872300153,443.4673948089827,437.0389934193422,427.78892107713926,425.110799407959,2.5301642982544195,1.0,-0.0172519588281293,1993-03-22
